# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.952908992767333984e+00 5.405903625488281250e+01 3.215992927551269531e+00 6.238826751708984375e+00 7.783865356445312500e+01 3.786840438842773438e+00 1.419553995132446289e+00
1.000000000000000000e+02 5.574716091156005859e+00 5.334469223022460938e+01 2.826920986175537109e+00 4.603624820709228516e+00 7.673070526123046875e+01 3.167125225067138672e+00 4.786171317100524902e-01
2.000000000000000000e+02 5.098432540893554688e+00 5.269952392578125000e+01 2.663163900375366211e+00 4.199826240539550781e+00 7.556898498535156250e+01 2.985819578170776367e+00 3.836999833583831787e-01
3.000000000000000000e+02 4.470773696899414062e+00 5.144175720214843750e+01 2.394030094146728516e+00 3.743664979934692383e+00 7.339592742919921875e+01 2.722254991531372070e+00 3.110160827636718750e-01
4.000000000000000000e+02 4.012372016906738281e+00 5.006805419921875000e+01 2.194881916046142578e+00 3.506784915924072266e+00 7.083166503906250000e+01 2.507076978683471680e+00 4.354982674121856689e-01
5.000000000000000000e+02 3.738489627838134766e+00 4.835699462890625000e+01 2.134947299957275391e+00 3.359401941299438477e+00 6.817353820800781250e+01 2.415235280990600586e+00 4.555310308933258057e-01
6.000000000000000000e+02 3.526453256607055664e+00 4.496100616455078125e+01 2.177396535873413086e+00 3.183498144149780273e+00 6.380543518066406250e+01 2.428237199783325195e+00 3.022106587886810303e-01
7.000000000000000000e+02 3.525914907455444336e+00 4.237008285522460938e+01 2.117476940155029297e+00 3.056432723999023438e+00 6.089904785156250000e+01 2.358273029327392578e+00 1.865175813436508179e-01
8.000000000000000000e+02 3.512211084365844727e+00 4.165633392333984375e+01 2.036993026733398438e+00 3.006589174270629883e+00 6.050443649291992188e+01 2.269429683685302734e+00 1.990187913179397583e-01
9.000000000000000000e+02 3.547175407409667969e+00 4.116284179687500000e+01 2.022390604019165039e+00 3.024328708648681641e+00 6.039493179321289062e+01 2.246642827987670898e+00 2.375347614288330078e-01
1.000000000000000000e+03 3.624479055404663086e+00 4.058790969848632812e+01 2.048233747482299805e+00 3.076498270034790039e+00 6.040328598022460938e+01 2.263063430786132812e+00 2.815924584865570068e-01
1.000000000000000000e+03 3.624479055404663086e+00 4.058790969848632812e+01 2.048233747482299805e+00 3.076498270034790039e+00 6.040328598022460938e+01 2.263063430786132812e+00 2.815924584865570068e-01
1.100000000000000000e+03 3.740332365036010742e+00 3.967206192016601562e+01 2.120998382568359375e+00 3.155127525329589844e+00 6.052300262451171875e+01 2.329548597335815430e+00 3.204510211944580078e-01
1.200000000000000000e+03 3.856173753738403320e+00 3.811428451538085938e+01 2.249366521835327148e+00 3.245406389236450195e+00 6.043304061889648438e+01 2.482306241989135742e+00 3.531318604946136475e-01
1.300000000000000000e+03 3.821364164352416992e+00 3.619653320312500000e+01 2.377219676971435547e+00 3.240005970001220703e+00 5.933795166015625000e+01 2.701947689056396484e+00 3.748824298381805420e-01
1.400000000000000000e+03 3.624564170837402344e+00 3.487286376953125000e+01 2.351091623306274414e+00 3.081923961639404297e+00 5.751282501220703125e+01 2.744758844375610352e+00 3.703936040401458740e-01
1.500000000000000000e+03 3.396137714385986328e+00 3.407308959960937500e+01 2.278044700622558594e+00 2.883095979690551758e+00 5.561617660522460938e+01 2.661706209182739258e+00 3.278174996376037598e-01
